Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26862.004726754727,R12_S12,C05,13040,2.232,3021111600222
26797.339114589115,R12_S12,C04,13040,2.232,3021111600222
26680.08858733859,R12_S12,C03,13040,2.232,3021111600222
26787.660598660597,R12_S12,C02,13040,2.232,3021111600222
26646.054861804863,R12_S12,C01,13040,2.232,3021111600222
26935.24305324305,R12_S12,C00,13040,2.232,3021111600222
26733.9424001924,R12_S12,C10,13040,2.232,3021111600223
26810.61233211233,R12_S12,C11,13040,2.232,3021111600223
26615.436998186997,R12_S12,C12,13040,2.232,3021111600223
26429.042725792726,R12_S12,C13,13040,2.232,3021111600223
26882.700845450847,R12_S12,C14,13040,2.232,3021111600223
26569.613627113627,R12_S12,C15,13040,2.232,3021111600223
26922.417480667482,R12_S12,C16,13040,2.232,3021111600223
26851.966135716135,R12_S12,C17,13040,2.232,3021111600223
26444.56586931587,R12_S12,C07,13040,2.232,3021111600223
26698.69806119806,R12_S12,C06,13040,2.232,3021111600223
26861.90873015873,R12_S12,C05,13040,2.232,3021111600223
26797.440957190956,R12_S12,C04,13040,2.232,3021111600223
26679.806684056683,R12_S12,C03,13040,2.232,3021111600223
26788.114774114772,R12_S12,C02,13040,2.232,3021111600223
26645.892635142634,R12_S12,C01,13040,2.232,3021111600223
26935.099215599217,R12_S12,C00,13040,2.232,3021111600223
26733.661606911606,R12_S12,C10,13040,2.232,3021111600224
26810.779119029117,R12_S12,C11,13040,2.232,3021111600224
26615.631535131535,R12_S12,C12,13040,2.232,3021111600224
26429.42992192992,R12_S12,C13,13040,2.232,3021111600224
26882.070475820477,R12_S12,C14,13040,2.232,3021111600224
26569.840724090725,R12_S12,C15,13040,2.232,3021111600224
26922.54292929293,R12_S12,C16,13040,2.232,3021111600224
26851.841972841972,R12_S12,C17,13040,2.232,3021111600224
26444.652208902207,R12_S12,C07,13040,2.232,3021111600224
26699.526834276836,R12_S12,C06,13040,2.232,3021111600224
26862.135956635957,R12_S12,C05,13040,2.232,3021111600224
26797.275243275242,R12_S12,C04,13040,2.232,3021111600224
